               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.026037,            0.014153,          0.00079059,             0.90965,             0.79486,             0.86894,             0.45641,            0.031221,           0.0074969,           0.0017618,           0.0061885,           0.0061885,           0.0061885
                  79,            0.025552,            0.014576,          0.00090247,             0.81756,             0.80646,             0.82868,             0.44483,            0.031362,           0.0080515,           0.0021504,            0.006139,            0.006139,            0.006139
                  80,            0.024573,            0.013757,          0.00093097,             0.94092,             0.80576,              0.8696,             0.46832,            0.031728,           0.0081303,           0.0021325,           0.0060895,           0.0060895,           0.0060895
                  81,            0.025262,            0.014125,           0.0013041,             0.85604,             0.82739,             0.86768,             0.48228,            0.031501,           0.0078735,           0.0011851,             0.00604,             0.00604,             0.00604
                  82,            0.025474,            0.014042,          0.00087185,             0.87334,             0.83637,             0.86043,             0.44565,            0.031952,           0.0081995,           0.0019526,           0.0059905,           0.0059905,           0.0059905
                  83,             0.02627,            0.014559,           0.0014663,             0.89733,             0.78105,             0.82478,             0.39505,            0.033833,           0.0084932,            0.003369,            0.005941,            0.005941,            0.005941
                  84,            0.026628,            0.013487,           0.0013763,             0.88363,             0.84496,             0.86625,              0.4372,            0.032974,           0.0074753,          0.00092318,           0.0058915,           0.0058915,           0.0058915
                  85,            0.024699,             0.01397,          0.00087732,             0.89525,             0.85075,             0.87604,             0.47481,            0.031074,           0.0076239,           0.0019061,            0.005842,            0.005842,            0.005842
                  86,            0.024221,            0.013441,          0.00097019,             0.88571,              0.8442,             0.86412,             0.45596,            0.030334,           0.0078329,           0.0013158,           0.0057925,           0.0057925,           0.0057925
                  87,            0.024866,            0.013427,          0.00090685,             0.90958,             0.80193,             0.84943,             0.44273,            0.032313,           0.0083204,           0.0021645,            0.005743,            0.005743,            0.005743
                  88,            0.025649,            0.013504,           0.0012199,             0.88073,             0.82634,             0.86433,             0.47778,            0.030335,           0.0082038,           0.0020809,           0.0056935,           0.0056935,           0.0056935
                  89,            0.025401,            0.013498,          0.00072468,              0.8717,              0.8035,             0.86181,             0.43443,            0.032597,           0.0082417,           0.0010334,            0.005644,            0.005644,            0.005644
                  90,            0.024132,            0.013475,          0.00055521,             0.86269,             0.83115,             0.84661,             0.44269,            0.031185,           0.0082857,           0.0011525,           0.0055945,           0.0055945,           0.0055945
                  91,            0.024334,            0.013733,          0.00087726,             0.89632,             0.86374,             0.88551,             0.49353,            0.029836,           0.0079182,          0.00083114,            0.005545,            0.005545,            0.005545
                  92,             0.02393,            0.013211,          0.00068551,             0.91461,             0.83064,             0.87808,             0.46336,            0.030594,           0.0077382,           0.0023422,           0.0054955,           0.0054955,           0.0054955
                  93,             0.02362,            0.013206,          0.00056279,             0.91699,             0.84423,             0.88632,             0.45344,            0.032529,           0.0079743,           0.0015811,            0.005446,            0.005446,            0.005446
                  94,            0.023911,            0.013396,          0.00070204,             0.92345,             0.82372,             0.88455,             0.52638,            0.028146,           0.0076201,          0.00035717,           0.0053965,           0.0053965,           0.0053965
